case_id,offender_id,crime_type,ipc_bns_section,victim_type,district,area_locality,time_pattern,method_used,mo_summary,date_reported,match_status,offender_age_band,offender_gender,offender_prior_case_count,offender_repeat_status,offender_recurrence_pattern
CASE-01299,OFF-00392,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Bidar,Old City area,Evening rush (6-8 PM),Window grille cutting,Window grille cutting; target: Ground-floor apartment; evening rush (6-8 pm),2024-04-16,Linked to known offender record,36-45,F,4,Repeat,Escalating frequency over last 6 months
CASE-01510,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Raichur,Old Town,Evening rush (6-8 PM),Bag slit and remove,Bag slit and remove; target: Market crowd; evening rush (6-8 pm),2025-07-11,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01782,UNASSIGNED,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Shivamogga,Durgigudi,Late night (11 PM-2 AM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; late night (11 pm-2 am),2023-08-18,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00135,OFF-00039,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Shivamogga,Vinoba Nagar,Early morning (4-7 AM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; early morning (4-7 am)",2024-12-26,Linked to known offender record,26-35,F,5,Repeat,Escalating frequency over last 6 months
CASE-01269,OFF-00384,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Uttara Kannada,Kumta town,Weekday mornings,"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Vacant residence; weekday mornings",2025-04-09,Linked to known offender record,56+,F,4,Repeat,Consistent MO across all recorded cases
CASE-00918,OFF-00288,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Tumakuru,SS Puram,Early morning (4-7 AM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; early morning (4-7 am),2025-09-18,Linked to known offender record,26-35,F,3,Repeat,Long gap then resurgence with same MO
CASE-00295,OFF-00091,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Mysuru,Saraswathipuram,Weekend nights,Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; weekend nights,2023-04-22,Linked to known offender record,18-25,M,4,Repeat,Alternates between two known methods
CASE-02000,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Mysuru,Bannimantap,Evening rush (6-8 PM),SMS phishing link,SMS phishing link; target: Elderly account holder; evening rush (6-8 pm),2025-05-10,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01838,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Vijayapura,Athani Road area,Evening rush (6-8 PM),Bag slit and remove,Bag slit and remove; target: Market crowd; evening rush (6-8 pm),2024-10-06,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01621,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Yadgir,Station Road area,Evening rush (6-8 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; evening rush (6-8 pm)",2024-05-03,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01947,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Bengaluru Urban,Banashankari,Late night (11 PM-2 AM),"Armed threat, cash till","Armed threat, cash till; target: Jewellery shop; late night (11 pm-2 am)",2024-06-15,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01734,UNASSIGNED,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Kolar,Bangarpet Road area,Evening rush (6-8 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; evening rush (6-8 pm),2024-10-14,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00798,OFF-00249,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Tumakuru,Kunigal Road area,Early morning (4-7 AM),SMS phishing link,SMS phishing link; target: Elderly account holder; early morning (4-7 am),2025-08-03,Linked to known offender record,26-35,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-01285,OFF-00387,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Ballari,Cowl Bazaar,Weekday mornings,"Armed threat, cash till","Armed threat, cash till; target: Jewellery shop; weekday mornings",2024-05-04,Linked to known offender record,26-35,M,2,Repeat,Consistent MO across all recorded cases
CASE-01115,OFF-00340,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Haveri,Bypass Road area,Early morning (4-7 AM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; early morning (4-7 am),2025-03-30,Linked to known offender record,56+,M,4,Repeat,Long gap then resurgence with same MO
CASE-00569,OFF-00179,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Mangaluru (Dakshina Kannada),Hampankatta,Evening rush (6-8 PM),Bag slit and remove,Bag slit and remove; target: Bus/rail commuter; evening rush (6-8 pm),2023-09-14,Linked to known offender record,56+,F,4,Repeat,Alternates between two known methods
CASE-01826,UNASSIGNED,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Udupi,Malpe Road area,Late night (11 PM-2 AM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; late night (11 pm-2 am),2024-12-24,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00902,OFF-00284,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Hassan,Race Course Road area,Early morning (4-7 AM),Late-night forced entry,Late-night forced entry; target: Small retail shop; early morning (4-7 am),2023-02-23,Linked to known offender record,26-35,F,6,Repeat,Long gap then resurgence with same MO
CASE-00948,OFF-00296,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Kodagu,Virajpet town,Weekend nights,Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; weekend nights,2025-05-28,Linked to known offender record,26-35,M,6,Repeat,Consistent MO across all recorded cases
CASE-00826,OFF-00258,Counterfeit Currency,BNS Sec 178-180,Currency exchange,Uttara Kannada,Karwar town,Early morning (4-7 AM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Currency exchange; early morning (4-7 am),2025-12-09,Linked to known offender record,26-35,F,3,Repeat,Single recorded case - insufficient pattern history
CASE-00399,OFF-00128,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Koppal,Old Town,Evening rush (6-8 PM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Elderly pedestrian; evening rush (6-8 pm),2025-02-18,Linked to known offender record,46-55,M,4,Repeat,Consistent MO across all recorded cases
CASE-01041,OFF-00320,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - commercial area,Hassan,Vidyanagar,Early morning (4-7 AM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - commercial area; early morning (4-7 am),2025-01-11,Linked to known offender record,26-35,M,5,Repeat,Alternates between two known methods
CASE-01567,UNASSIGNED,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Tumakuru,SS Puram,Midday (12-3 PM),Fake bank call requesting OTP,Fake bank call requesting OTP; target: Elderly account holder; midday (12-3 pm),2023-10-13,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00116,OFF-00033,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Hubballi-Dharwad,Old Hubballi,Weekday mornings,Tow-away theft,Tow-away theft; target: Parked vehicle - street; weekday mornings,2024-02-07,Linked to known offender record,26-35,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-01093,OFF-00332,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Belagavi,Shahapur,Evening rush (6-8 PM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; evening rush (6-8 pm),2024-04-05,Linked to known offender record,46-55,M,5,Repeat,Escalating frequency over last 6 months
CASE-01350,OFF-00410,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Chitradurga,Old Bus Stand area,Weekday mornings,SMS phishing link,SMS phishing link; target: Elderly account holder; weekday mornings,2025-05-14,Linked to known offender record,26-35,M,5,Repeat,Consistent MO across all recorded cases
CASE-00652,OFF-00206,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Ballari,Cowl Bazaar,Evening rush (6-8 PM),Duplicate key / lock-picking,Duplicate key / lock-picking; target: Parked vehicle - residential; evening rush (6-8 pm),2024-10-30,Linked to known offender record,36-45,F,2,Repeat,Single recorded case - insufficient pattern history
CASE-01406,OFF-00429,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Bidar,Old City area,Late night (11 PM-2 AM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; late night (11 pm-2 am),2023-10-11,Linked to known offender record,46-55,M,6,Repeat,Consistent MO across all recorded cases
CASE-01909,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Chamarajanagar,Kollegal Road area,Midday (12-3 PM),Late-night forced entry,Late-night forced entry; target: Small retail shop; midday (12-3 pm),2024-02-17,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-01047,OFF-00322,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Chamarajanagar,Kollegal Road area,Late night (11 PM-2 AM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; late night (11 pm-2 am),2023-06-09,Linked to known offender record,56+,M,2,Repeat,Single recorded case - insufficient pattern history
CASE-01654,UNASSIGNED,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Mandya,Vidyanagar,Weekend nights,Relay key attack,Relay key attack; target: Parked vehicle - street; weekend nights,2024-06-08,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00693,OFF-00218,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Chitradurga,Old Bus Stand area,Early morning (4-7 AM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; early morning (4-7 am),2025-09-29,Linked to known offender record,26-35,F,5,Repeat,Consistent MO across all recorded cases
CASE-00217,OFF-00063,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Yadgir,Station Road area,Early morning (4-7 AM),Late-night forced entry,Late-night forced entry; target: Small retail shop; early morning (4-7 am),2023-12-24,Linked to known offender record,56+,M,4,Repeat,Long gap then resurgence with same MO
CASE-00241,OFF-00071,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Vijayapura,Jubilee Circle area,Weekday mornings,Tow-away theft,Tow-away theft; target: Parked vehicle - street; weekday mornings,2025-02-11,Linked to known offender record,26-35,F,3,Repeat,Consistent MO across all recorded cases
CASE-01469,OFF-00446,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Vijayapura,Athani Road area,Midday (12-3 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; midday (12-3 pm)",2024-04-19,Linked to known offender record,18-25,M,4,Repeat,Escalating frequency over last 6 months
CASE-01329,OFF-00401,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Uttara Kannada,Sirsi town,Weekend nights,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekend nights,2023-04-05,Linked to known offender record,18-25,F,3,Repeat,Alternates between two known methods
CASE-00193,OFF-00055,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Bagalkot,Old Bagalkot,Weekday mornings,"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; weekday mornings",2025-08-11,Linked to known offender record,36-45,F,5,Repeat,Escalating frequency over last 6 months
CASE-01210,OFF-00365,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Haveri,Bypass Road area,Weekend nights,Tow-away theft,Tow-away theft; target: Parked vehicle - street; weekend nights,2023-01-06,Linked to known offender record,46-55,M,4,Repeat,Alternates between two known methods
CASE-01553,UNASSIGNED,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Mangaluru (Dakshina Kannada),Mangaladevi,Late night (11 PM-2 AM),Skimmer device installation,Skimmer device installation; target: ATM users - unmanned kiosk; late night (11 pm-2 am),2025-06-01,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00306,OFF-00095,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Davanagere,Vinoba Nagar,Evening rush (6-8 PM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; evening rush (6-8 pm),2024-11-28,Linked to known offender record,36-45,M,2,Repeat,Escalating frequency over last 6 months
CASE-01054,OFF-00324,House Burglary,BNS Sec 305 (Burglary),Vacant residence,Kolar,Bangarpet Road area,Weekday mornings,Impersonation as utility worker,Impersonation as utility worker; target: Vacant residence; weekday mornings,2024-02-09,Linked to known offender record,46-55,M,5,Repeat,Consistent MO across all recorded cases
CASE-00884,OFF-00280,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Hubballi-Dharwad,Old Hubballi,Midday (12-3 PM),Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Elderly pedestrian; midday (12-3 pm),2023-07-14,Linked to known offender record,36-45,M,4,Repeat,Long gap then resurgence with same MO
CASE-01746,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Vijayapura,Jubilee Circle area,Weekend nights,Late-night forced entry,Late-night forced entry; target: Jewellery shop; weekend nights,2023-12-25,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00867,OFF-00276,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Kalaburagi,Sedam Road area,Evening rush (6-8 PM),Bulk note circulation via shop network,Bulk note circulation via shop network; target: Small retail shop; evening rush (6-8 pm),2024-02-27,Linked to known offender record,36-45,F,4,Repeat,Escalating frequency over last 6 months
CASE-00054,OFF-00016,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Mysuru,Vijayanagar,Weekday mornings,Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; weekday mornings,2025-09-29,Linked to known offender record,56+,F,5,Repeat,Consistent MO across all recorded cases
CASE-01727,UNASSIGNED,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Tumakuru,Kunigal Road area,Weekend nights,Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Elderly pedestrian; weekend nights,2023-09-17,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00799,OFF-00249,Cyber Fraud (OTP/Phishing),IT Act Sec 66C/66D,Elderly account holder,Belagavi,Tilakwadi,Late night (11 PM-2 AM),SMS phishing link,SMS phishing link; target: Elderly account holder; late night (11 pm-2 am),2025-02-03,Linked to known offender record,26-35,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-01468,OFF-00446,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Koppal,Old Town,Weekend nights,"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; weekend nights",2023-03-23,Linked to known offender record,18-25,M,4,Repeat,Escalating frequency over last 6 months
CASE-01414,OFF-00431,Vehicle Theft (Four-wheeler),BNS Sec 303 (Theft),Parked vehicle - street,Kolar,Bangarpet Road area,Early morning (4-7 AM),Tow-away theft,Tow-away theft; target: Parked vehicle - street; early morning (4-7 am),2025-03-16,Linked to known offender record,56+,F,6,Repeat,Alternates between two known methods
CASE-00843,OFF-00263,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Kalaburagi,Station Road area,Early morning (4-7 AM),"Armed threat, cash till","Armed threat, cash till; target: Small retail shop; early morning (4-7 am)",2023-11-26,Linked to known offender record,26-35,M,2,Repeat,Consistent MO across all recorded cases
CASE-00131,OFF-00037,Chain Snatching,BNS Sec 304 (Snatching),Lone woman pedestrian,Kalaburagi,Station Road area,Weekend nights,Two-wheeler drive-by snatch,Two-wheeler drive-by snatch; target: Lone woman pedestrian; weekend nights,2025-06-23,Linked to known offender record,26-35,F,5,Repeat,Single recorded case - insufficient pattern history
CASE-01032,OFF-00318,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Chamarajanagar,Town Centre,Evening rush (6-8 PM),"Armed threat, cash till","Armed threat, cash till; target: Jewellery shop; evening rush (6-8 pm)",2024-04-19,Linked to known offender record,56+,M,5,Repeat,Consistent MO across all recorded cases
CASE-00589,OFF-00184,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Uttara Kannada,Karwar town,Weekend nights,Late-night forced entry,Late-night forced entry; target: Small retail shop; weekend nights,2023-10-20,Linked to known offender record,36-45,F,3,Repeat,Alternates between two known methods
CASE-00879,OFF-00278,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Kodagu,Virajpet town,Weekday mornings,"Lock-breaking, rear entry","Lock-breaking, rear entry; target: Ground-floor apartment; weekday mornings",2023-10-01,Linked to known offender record,46-55,M,6,Repeat,Long gap then resurgence with same MO
CASE-01641,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Chitradurga,College Road area,Early morning (4-7 AM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; early morning (4-7 am),2024-03-06,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00113,OFF-00032,House Burglary,BNS Sec 305 (Burglary),Ground-floor apartment,Mysuru,Kuvempunagar,Weekend nights,Impersonation as utility worker,Impersonation as utility worker; target: Ground-floor apartment; weekend nights,2025-08-16,Linked to known offender record,36-45,M,5,Repeat,Escalating frequency over last 6 months
CASE-01147,OFF-00349,Counterfeit Currency,BNS Sec 178-180,Small retail shop,Tumakuru,Ashoknagar,Midday (12-3 PM),Cash-for-goods swap,Cash-for-goods swap; target: Small retail shop; midday (12-3 pm),2024-03-21,Linked to known offender record,46-55,F,4,Repeat,Consistent MO across all recorded cases
CASE-01639,UNASSIGNED,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Shivamogga,Vinoba Nagar,Midday (12-3 PM),Late-night forced entry,Late-night forced entry; target: Jewellery shop; midday (12-3 pm),2024-11-28,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
CASE-00578,OFF-00182,ATM Tampering/Skimming,BNS Sec 318 / IT Act,ATM users - unmanned kiosk,Koppal,Old Town,Early morning (4-7 AM),Shoulder-surfing + card swap,Shoulder-surfing + card swap; target: ATM users - unmanned kiosk; early morning (4-7 am),2024-02-09,Linked to known offender record,56+,M,4,Repeat,Single recorded case - insufficient pattern history
CASE-00126,OFF-00036,Shop Robbery,BNS Sec 309 (Robbery),Jewellery shop,Kodagu,Gonikoppal town,Weekday mornings,Late-night forced entry,Late-night forced entry; target: Jewellery shop; weekday mornings,2024-07-23,Linked to known offender record,36-45,F,1,First recorded instance,Escalating frequency over last 6 months
CASE-00717,OFF-00226,Chit Fund / Investment Fraud,BNS Sec 318 (Cheating),Small investor group,Bagalkot,Old Bagalkot,Midday (12-3 PM),"Fake high-return scheme, cash collection","Fake high-return scheme, cash collection; target: Small investor group; midday (12-3 pm)",2024-01-20,Linked to known offender record,56+,F,2,Repeat,Single recorded case - insufficient pattern history
CASE-00397,OFF-00128,Chain Snatching,BNS Sec 304 (Snatching),Elderly pedestrian,Koppal,Old Town,Evening rush (6-8 PM),"Foot approach, distraction snatch","Foot approach, distraction snatch; target: Elderly pedestrian; evening rush (6-8 pm)",2024-08-04,Linked to known offender record,46-55,M,4,Repeat,Consistent MO across all recorded cases
CASE-00148,OFF-00042,Pickpocketing,BNS Sec 303 (Theft),Bus/rail commuter,Davanagere,PJ Extension,Weekend nights,Crowd distraction lift,Crowd distraction lift; target: Bus/rail commuter; weekend nights,2024-04-03,Linked to known offender record,46-55,F,2,Repeat,Consistent MO across all recorded cases
CASE-00925,OFF-00290,Two-Wheeler Theft,BNS Sec 303 (Theft),Parked vehicle - residential,Chikkamagaluru,IG Road area,Midday (12-3 PM),Vehicle lifted onto pickup truck,Vehicle lifted onto pickup truck; target: Parked vehicle - residential; midday (12-3 pm),2024-07-01,Linked to known offender record,36-45,F,2,Repeat,Long gap then resurgence with same MO
CASE-00243,OFF-00072,Shop Robbery,BNS Sec 309 (Robbery),Small retail shop,Kolar,Old Bus Stand area,Evening rush (6-8 PM),Late-night forced entry,Late-night forced entry; target: Small retail shop; evening rush (6-8 pm),2025-03-14,Linked to known offender record,18-25,F,6,Repeat,Alternates between two known methods
CASE-01869,UNASSIGNED,Pickpocketing,BNS Sec 303 (Theft),Market crowd,Bagalkot,Navanagar,Weekday mornings,Crowd distraction lift,Crowd distraction lift; target: Market crowd; weekday mornings,2025-04-26,Open - no offender match recorded,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched,N/A - case unmatched
